country,x,y
Nigeria,-58,63
Ethiopia,221,55
Egypt,133,211
Democratic Republic of Congo,75,-34
Tanzania,176,-69
South Africa,50,-288
Kenya,205,-17
Uganda,159,-10
Sudan,130,105
Algeria,-106,224
Morocco,-191,270
Angola,29,-130
Ghana,-134,37
Mozambique,163,-212
Madagascar,267,-204
Cote D'Ivoire,-170,53
Cameroon,-15,25
Niger,-46,133
Mali,-143,138
Burkina Faso,-143,87
Malawi,170,-129
Zambia,95,-145
Chad,34,117
Somalia,283,62
Senegal,-272,109
Zimbabwe,130,-179
Guinea,-214,75
Rwanda,137,-35
Benin,-96,71
Burundi,139,-48
Tunisia,-35,258
Togo,-105,43
Sierra Leone,-237,48
Libya,29,216
Congo,15,-14
Central African Republic,31,36
Liberia,-211,30
Mauritania,-226,152
Eritrea,215,123
Gambia,-274,94
Botswana,75,-209
Namibia,10,-193
Gabon,-24,-26
Lesotho,125,-269
Guinea-Bissau,-260,83
Equatorial Guinea,-38,-3
Mauritius,338,-177
Eswatini,155,-243
Djibouti,246,84
Comoros,259,-120
Cape Verde,-322,120
Soa Tome & Principe,-71,-18
Seychelles,322,-82